Podiceps cristatus
Phalacrocorax carbo
Ardea cinerea
Cygnus olor
Anser albifrons
Anser anser
Branta canadensis
Branta leucopsis
Alopochen aegyptiaca
Tadorna tadorna
Mareca penelope
Mareca strepera
Anas crecca
Anas platyrhynchos
Aythya fuligula
Accipiter nisus
Buteo buteo
Falco tinnunculus
Phasianus colchicus
Gallinula chloropus
Fulica atra
Haematopus ostralegus
Vanellus vanellus
Chroicocephalus ridibundus
Larus canus
Larus fuscus
Larus argentatus
Columba livia
Columba oenas
Columba palumbus
Streptopelia decaocto
Psittacula krameri
Apus apus
Dendrocopos major
Alauda arvensis
Hirundo rustica
Delichon urbicum
Anthus trivialis
Anthus pratensis
Motacilla flava
Troglodytes troglodytes
Prunella modularis
Erithacus rubecula
Turdus merula
Turdus pilaris
Turdus philomelos
Turdus iliacus
Acrocephalus palustris
Acrocephalus scirpaceus
Curruca communis
Sylvia borin
Sylvia atricapilla
Phylloscopus collybita
Phylloscopus trochilus
Regulus regulus
Periparus ater
Cyanistes caeruleus
Parus major
Sitta europaea
Certhia brachydactyla
Garrulus glandarius
Pica pica
Coloeus monedula
Corvus frugilegus
Corvus corone
Sturnus vulgaris
Passer domesticus
Passer montanus
Fringilla coelebs
Chloris chloris
Carduelis carduelis
Linaria cannabina
Emberiza schoeniclus
Gavia stellata
Tachybaptus ruficollis
Podiceps grisegena
Podiceps nigricollis
Fulmarus glacialis
Morus bassanus
Botaurus stellaris
Ardea alba
Ardea purpurea
Ciconia ciconia
Platalea leucorodia
Cygnus columbianus
Cygnus cygnus
Anser serrirostris
Anser brachyrhynchus
Anser indicus
Branta hutchinsii minima
Branta bernicla
Cairina moschata
Anas acuta
Spatula querquedula
Spatula clypeata
Aythya ferina
Aythya marila
Somateria mollissima
Melanitta nigra
Melanitta fusca
Bucephala clangula
Mergellus albellus
Mergus serrator
Mergus merganser
Pernis apivorus
Circus aeruginosus
Circus cyaneus
Accipiter gentilis
Falco columbarius
Falco subbuteo
Falco peregrinus
Perdix perdix
Rallus aquaticus
Recurvirostra avosetta
Charadrius dubius
Charadrius hiaticula
Pluvialis apricaria
Pluvialis squatarola
Calidris canutus
Calidris alba
Calidris minuta
Calidris ferruginea
Calidris alpina
Calidris pugnax
Gallinago gallinago
Scolopax rusticola
Limosa limosa
Limosa limosa islandica
Limosa lapponica
Numenius phaeopus
Numenius arquata
Tringa erythropus
Tringa totanus
Tringa nebularia
Tringa ochropus
Tringa glareola
Actitis hypoleucos
Arenaria interpres
Stercorarius parasiticus
Hydrocoloeus minutus
Larus cachinnans
Larus marinus
Rissa tridactyla
Thalasseus sandvicensis
Sterna hirundo
Sterna paradisaea
Sternula albifrons
Chlidonias niger
Uria aalge
Streptopelia turtur
Cuculus canorus
Tyto alba
Athene noctua
Strix aluco
Asio otus
Asio flammeus
Alcedo atthis
Picus viridis
Dryocopus martius
Dryobates minor
Lullula arborea
Riparia riparia
Anthus spinoletta
Anthus petrosus
Motacilla flava
Motacilla cinerea
Motacilla alba
Luscinia megarhynchos
Luscinia svecica
Phoenicurus ochruros
Phoenicurus phoenicurus
Saxicola rubetra
Saxicola rubicola
Oenanthe oenanthe
Turdus viscivorus
Locustella naevia
Locustella luscinioides
Acrocephalus schoenobaenus
Acrocephalus arundinaceus
Hippolais icterina
Curruca curruca
Phylloscopus sibilatrix
Regulus ignicapilla
Muscicapa striata
Ficedula hypoleuca
Panurus biarmicus
Aegithalos caudatus
Poecile palustris
Poecile montanus
Lophophanes cristatus
Oriolus oriolus
Corvus cornix
Corvus corax
Fringilla montifringilla
Spinus spinus
Acanthis flammea
Acanthis cabaret
Loxia curvirostra
Pyrrhula pyrrhula
Coccothraustes coccothraustes
Emberiza citrinella
Gavia arctica
Podiceps auritus
Ardenna grisea
Puffinus puffinus
Hydrobates leucorhous
Gulosus aristotelis
Egretta garzetta
Ciconia nigra
Threskiornis aethiopicus
Phoenicopterus chilensis
Cygnus atratus
Anser cygnoides
Anser caerulescens
Branta bernicla
Branta ruficollis
Tadorna ferruginea
Aix sponsa
Aix galericulata
Anas bahamensis
Netta rufina
Clangula hyemalis
Oxyura jamaicensis
Milvus migrans
Milvus milvus
Haliaeetus albicilla
Circus pygargus
Buteo lagopus
Pandion haliaetus
Falco vespertinus
Coturnix coturnix
Gallus gallus
Porzana porzana
Grus grus
Charadrius alexandrinus
Charadrius morinellus
Calidris temminckii
Calidris maritima
Lymnocryptes minimus
Tringa stagnatilis
Phalaropus lobatus
Phalaropus fulicarius
Stercorarius pomarinus
Stercorarius longicaudus
Stercorarius skua
Ichthyaetus melanocephalus
Larus michahellis
Larus hyperboreus
Gelochelidon nilotica
Hydroprogne caspia
Chlidonias leucopterus
Alca torda
Alle alle
Caprimulgus europaeus
Jynx torquilla
Dendrocoptes medius
Eremophila alpestris
Anthus richardi
Anthus campestris
Anthus cervinus
Bombycilla garrulus
Turdus torquatus
Cettia cetti
Phylloscopus inornatus
Remiz pendulinus
Lanius collurio
Lanius excubitor
Serinus serinus
Linaria flavirostris
Carpodacus erythrinus
Calcarius lapponicus
Plectrophenax nivalis
Emberiza hortulana
Emberiza calandra
Pavo cristatus
Gavia immer
Puffinus mauretanicus
Hydrobates pelagicus
Ixobrychus minutus
Nycticorax nycticorax
Ardeola ralloides
Bubulcus ibis
Plegadis falcinellus
Phoenicopterus roseus
Anser fabalis
Anser erythropus
Mareca americana
Anas carolinensis
Aythya nyroca
Gyps fulvus
Circaetus gallicus
Circus macrourus
Lyrurus tetrix
Zapornia pusilla
Crex crex
Himantopus himantopus
Burhinus oedicnemus
Calidris melanotos
Calidris falcinellus
Calidris subruficollis
Xenus cinereus
Xema sabini
Larus glaucoides
Chlidonias hybrida
Cepphus grylle
Fratercula arctica
Bubo bubo
Merops apiaster
Upupa epops
Galerida cristata
Cecropis daurica
Anthus hodgsoni
Cinclus cinclus
Cisticola juncidis
Locustella fluviatilis
Acrocephalus paludicola
Hippolais polyglotta
Curruca nisoria
Phylloscopus trochiloides
Phylloscopus proregulus
Ficedula parva
Certhia familiaris
Lanius senator
Nucifraga caryocatactes
Pastor roseus
Acanthis hornemanni
Loxia leucoptera
Loxia pytyopsittacus
Emberiza pusilla
